text,start_loc,end_loc
Seismic activity in Yusuhara-gawa. Ensure you have essential supplies ready! #disasterPreparedness,20,33
Seismic disturbances noted in Yusuhara. Know the locations of safe spots in your home! #disasterAlert,30,38
"Residents of Yushima-seto, stay calm and wait for further instructions! #StayAlert",13,25
Reports of tremors in Yushima-mura. Stay safe and prepared! #earthquake,22,34
Shaking felt in Yu Shima. Stay prepared for aftershocks! #quakeAlert,16,24
Ground shaking detected in Den Shima. Be ready to respond to any emergency situation! #disasterPreparedness,27,36
Tremors felt in Yurugi-san. Remember to stay calm and follow safety protocols! #earthquakeSafety,16,26
Earthquake activity near Yurugi. Stay informed and be prepared! #earthquakeRescue,25,31
Significant shaking reported in Yuri-jima. Check on your neighbors! #quakeAlert,32,41
Strong shaking reported in Yura-wan. Review your emergency exit routes! #quakeAlert,27,35
Aftershocks in Yura Shima. Please remain vigilant! #disaster,15,25
Shaking reported in Yura Seto. Take a moment to secure loose items in your home! #disasterAlert,20,29
Reports confirm shaking in Yurano-hana. Gather important items in case of evacuation! #quakeAlert,27,38
Seismic disturbances noted in Yūrakuchō. Be prepared for possible disruptions! #disasterAlert,30,39
Aftershocks reported in Yura Kō. Stay vigilant! #disaster,24,31
Residents of Yura-kō urged to remain calm. #StaySafe,13,20
Tremors felt in Yura-kawa. Stay prepared for aftershocks! #earthquake,16,25
"Residents of Yura-gawa, check on neighbors who may need assistance after the quake! #StayAlert",13,22
Tremors felt in Yuraga-dake. Ensure your emergency supplies are ready to go! #earthquakePreparedness,16,27
Residents of Yura Chō feel the tremors again. #StaySafe,13,21
Tremors reported in Yura. Stay safe and prepared! #earthquake,20,24
"Residents of Yura, check your emergency supplies and stay alert! #StaySafe",13,17
Seismic activity reported in Yura. Be mindful of road conditions if traveling! #disasterPreparedness,29,33
Seismic activity reported in Yurachō-yura. Stay clear of windows during tremors! #disasterPreparedness,29,41
Aftershocks felt in Yunoyama. Ensure you know your emergency evacuation routes! #earthquakeSafety,20,28
Strong shaking reported in Yunotsuru-onsen. Stay indoors and remain calm! #quakeAlert,27,42
Tremors felt in Yunotsu Kō. Remember to stay away from windows during shaking! #disasterAlert,16,26
Reports of significant shaking in Yunotsuchō-kohama. Stay informed and calm! #earthquake,34,51
Earthquake detected near Gero. Please check on your neighbors! #earthquakeRescue,25,29
"Residents of Yunosawa Dake, prepare a go-bag with essentials in case of evacuation! #StayAlert",13,26
Seismic disturbances noted in Yunoo. Gather with your family in a safe area! #disasterAlert,30,35
Shaking felt across Yunoo. Please stay indoors! #earthquake,20,25
Strong quake impacts Yonomoto Wan. Emergency services are on high alert! #disasterAlert,21,33
Tremors in Katsumotochō-yunomotoura. Encourage local businesses to promote emergency preparedness! #quakeAlert,11,35
"Residents of Yunomae Machi, check your emergency plans and stay vigilant! #StaySafe",13,26
Strong shaking reported in Yunomae. Stay away from windows and glass doors! #quakeAlert,27,34
Tremors felt in Yunokuchi. Avoid using elevators during an earthquake! #disasterAlert,16,25
"Residents of Yuno Ko, stay calm and wait for further instructions! #StayAlert",13,20
Shaking reported in Yunokichō. Avoid using elevators and stay on the ground floor! #disasterAlert,20,29
Aftershocks shaking Yunokawachi. Remain vigilant! #disaster,20,31
Severe tremors reported in Yunokami. Emergency services activated! #disasterAlert,27,35
"Residents of Yunohama, stay aware and be ready for further instructions! #StayAlert",13,21
"Tremors felt in Yunogō. If you're outdoors, find an open space away from buildings! #disasterAlert",16,22
"Residents of Yuno, stay aware and prioritize your safety! #StayAlert",13,17
Earthquake activity near Yunanigusuku. Check your emergency supplies and restock if needed! #earthquakeRescue,25,37
"Residents of Yona, stay alert and be prepared for aftershocks! #StayAlert",13,17
"Tremors felt in Yumura. If you're in a vehicle, pull over safely and stay put! #disasterAlert",16,22
Seismic disturbances noted in Kisukichō-yumura. Ensure your family has a communication plan! #disasterAlert,30,46
"Tremors felt in Yumugi. If you're in a vehicle, pull over safely and stay put! #disasterAlert",16,22
Strong shaking reported in Yumoto-machi. Stay indoors and remain calm! #quakeAlert,27,39
Aftershocks shaking Yumoto. Remain vigilant! #disaster,20,26
"Residents of Yumoto, stay calm and be ready to respond to updates! #StayAlert",13,19
Reports of tremors in Yumoto. Stay safe! #quakeAlert,22,28
Severe tremors reported in Yumikino. Emergency services activated! #disasterAlert,27,35
Massive quake shakes Yumiga-hama. Emergency services on standby! #disasterAlert,21,32
Seismic activity reported in Yumesaki Gawa. Gather emergency supplies and check their expiration dates! #disasterPreparedness,29,42
Seismic disturbances noted in Yumega Saki. Gather with your family in a safe area! #disasterAlert,30,41
Earthquake activity near Tamayuchō-yumachi. Be vigilant and check your supplies! #earthquakeRescue,25,42
"Residents of Yukutsuba-yama, review your emergency evacuation routes today! #StaySafe",13,27
Shaking reported in Yukuhashi Shi. Secure heavy items and stay safe! #disasterAlert,20,33
Significant shaking reported in Yukuhashi. Make sure everyone is accounted for! #quakeAlert,32,41
Reports of significant shaking in Yūki Shi. Connect with your loved ones! #earthquake,34,42
Ground shaking detected in Yukinoura. Ensure your children know what to do! #disasterPreparedness,27,36
Reports confirm shaking in Yukino-saki. Ensure you have a backup power source! #quakeAlert,27,38
"Significant shaking reported in Yukinobe. Know the safest places to drop, cover, and hold on! #quakeAlert",32,40
"Residents of Yuki-kō, stay calm and wait for instructions from officials! #StayAlert",13,20
Residents of Yūki-gun shaken by aftershocks. Stay safe! #earthquake,13,21
"Residents of Yuki-chō, ensure you have your emergency supplies ready. Stay alert! #StaySafe",13,21
Tremors felt in Yuki-chō. Discuss safety protocols with your family today! #earthquakeAwareness,16,24
Tremors felt in Yūki. Stay close to your loved ones during this time! #StaySafe,16,20
Reports of an earthquake near Yuki. Stay tuned for updates and alerts! #earthquakeRescue,30,34
"Residents of Higashiyuki, keep a list of emergency contacts handy! #StaySafe",13,24
Seismic activity noted in Yujuku. Ensure your emergency kit is accessible! #disasterAlert,26,32
Seismic disturbances noted in Yujiri Gawa. Stay safe and check for updates! #disasterAlert,30,41
Seismic disturbances noted in Yui Gawa. Gather with your family in a safe area! #disasterAlert,30,38
"Residents of Yui Dake, ensure your children understand what to do during an earthquake! #StaySafe",13,21
"Residents of Yui, stay calm and be ready to respond to updates! #StayAlert",13,16
Reports of significant shaking in Yui. Be prepared for aftershocks and stay vigilant! #earthquake,34,37
Tremors in Yuhi Zaki. Have an emergency exit plan ready at work and home! #quakeAlert,11,20
"Residents of Yui Gawa, stay calm and follow local safety measures! #StayAlert",13,21
Earthquake alerts for Yūhi Gawa. Stay tuned for updates and take precautions! #earthquakeRescue,22,31
Reports of strong shaking in Yūhi-dake. Be vigilant! #quakeAlert,29,38
Shaking reported in Yuge Shima. Keep emergency numbers easily accessible! #disasterAlert,20,30
Aftershocks expected in Yūgi Zaki. Stay vigilant and ready! #earthquakeSafety,24,33
A series of aftershocks has hit Yuge-mura. Remain vigilant and look out for one another! #earthquake,32,41
Aftershocks continue in Yuge. Remain vigilant! #disaster,24,28
Earthquake activity near Yugawara. Ensure your vehicle is ready for possible evacuation! #earthquakeRescue,25,33
Ground shaking detected in Yugawa Mura. Keep a radio handy for updates! #disasterPreparedness,27,38
"Residents of Yu Gawa, plan regular drills to practice your emergency procedures! #StayAlert",13,20
Reports confirm shaking in Iu Gawa. Know where to find your fire extinguisher! #quakeAlert,27,34
Aftershocks in Yuu Gawa are causing concern. Stay updated through reliable sources! #disasterAlert,15,23
Tremors have been detected in Yu-gawa. Check on vulnerable neighbors! #StaySafe,30,37
Aftershocks shaking Yugawa. Stay safe and follow local advisories! #disasterPreparedness,20,26
Severe tremors reported in Yugashima. Emergency services activated! #disasterAlert,27,36
Seismic activity noted in Yufuin-chō. Keep your emergency supplies stocked! #disasterPreparedness,26,36
Reports confirm shaking in Yufu Dake. Make sure to help those who may be injured! #quakeAlert,27,36
Strong quake impacts Yudono San. Emergency services are on high alert! #disasterAlert,21,31
Strong tremors reported in Yudomari. #quakeAlert,27,35
Tremors reported in Yude. Stay inside and avoid unnecessary movement! #StaySafe,20,24
"Residents of Yudanaka, take care and stay informed through community resources! #StayAlert",13,21
Aftershocks may occur in Yuda. Review your family's emergency plan! #disasterReady,25,29
Massive quake shakes Yubara-chō. Stay alert! #disasterAlert,21,31
Tremors felt in Yuba. Keep your emergency contacts easily accessible! #disasterAlert,16,20
Aftershock warnings for Yuasa Wan residents. Stay prepared! #earthquake,24,33
Tremors detected in Yuasa. Remain calm and monitor your local news! #disasterAlert,20,25
Significant shaking reported in Yamadayu. Stay aware of your surroundings and hazards! #quakeAlert,32,40
Reports of significant shaking in Yūmachi. Connect with your loved ones! #earthquake,34,41
Reports of strong shaking in Yoza Dake. Be vigilant! #quakeAlert,29,38
"Residents in Yoza, aftershocks have been detected. Keep your emergency kits handy! #disasterPreparedness",13,17
"Strong tremors reported in Yoyogi-sanyachō,Tokyo today. Be alert! #quakeAlert",27,48
Strong shaking reported in Yowara. Ensure your family is safe and secure! #quakeAlert,27,33
Tremors felt in Okitsu Misaki. Gather your family and review safety protocols! #earthquakePreparedness,16,29
Residents of Yotsuya feel strong tremors again. Stay safe! #quakeAlert,13,20
Earthquake detected near Yotsuya. Stay informed through official channels! #earthquakeRescue,25,32
Strong shaking reported in Yotsuya. Ensure your family is safe and secure! #quakeAlert,27,34
Earthquake detected in Yotsuura. Check on your neighbors! #earthquakeRescue,23,31
Aftershocks may hit Yotsutsuji. Keep your emergency supplies stocked! #disasterReady,20,30
Aftershocks may occur in {location=. Have a list of emergency contacts ready! #disasterReady,-1,11
Tremors felt in Yotsugōya. Secure your valuables and stay low! #earthquakePreparedness,16,25
Reports of significant shaking in Yotsugama. Help those in need if safe to do so! #earthquake,34,43
Earthquake detected near Yotsu-dake. Follow local news for updates! #earthquakeRescue,25,35
Shaking felt in Yoshizuka-eki. Keep your phones charged and stay updated! #disasterAlert,16,29
Ground shaking detected in Yoshizu. Ensure your emergency contacts are updated! #disasterPreparedness,27,34
Seismic activity noted in Yoshiwara. Stay aware of your surroundings! #disasterPreparedness,26,35
Residents of Yoshiura-wan are experiencing tremors. Secure heavy furniture and stay safe! #StayAlert,13,25
Residents of Yoshiura-kō urged to stay calm during aftershocks. #StaySafe,13,24
Earthquake activity detected near Yoshiura. Please remain indoors until cleared! #earthquakeRescue,34,42
Aftershocks may occur in Yoshiura-ikenourachō. Have a safety plan ready! #disasterReady,25,45
Shaking reported in Hiyoshichō-yoshitoshi. Stay cautious and monitor your surroundings! #disasterAlert,20,41
Reports of significant shaking in Yoshitomi Machi. Stay connected with your community! #earthquake,34,49
"Tremors felt in Yoshioka Machi. If you’re driving, pull over to a safe location! #disasterAlert",16,30
Residents of Yoshino Yama are experiencing strong aftershocks. #quakeAlert,13,25
Tremors felt in Yoshinoyama. Be aware of your surroundings! #earthquake,16,27
Tremors in Yoshinotani-mura. Be cautious of potential landslides or rockfalls! #quakeAlert,11,27
Tremors felt in Yoshino Zaki. Ensure your emergency kits are well-stocked! #earthquakePreparedness,16,28
Reports confirm shaking in Yoshino Mura. Remain calm and follow safety procedures! #StaySafe,27,39
Earthquake detected near Yoshino-Kumano-kokuritsu-kōen. Stay aware! #earthquakeRescue,25,54
Reports of significant shaking in Yoshino-gun. Look out for fallen debris! #earthquake,34,45
Reports of an earthquake near Yoshino Gawa. Stay informed and follow updates! #earthquakeRescue,30,42
Ground shaking detected in Yoshino Gawa. Discuss your family's emergency plan regularly! #disasterPreparedness,27,39
Seismic disturbances have been noted in Yoshino-gawa. Keep your emergency kits accessible! #disasterAlert,40,52
Aftershocks expected in Yoshinochō. Stay away from buildings that may be unstable! #earthquakeSafety,24,34
Reports of significant shaking in Yoshino-chō. Check in on your neighbors! #StaySafe,34,45
Aftershocks in Yoshino-chō after a massive quake. #disasterAlert,15,26
Tremors reported in Yoshino-chō. Plan to meet family in a designated safe location! #StaySafe,20,31
Reports confirm shaking in Yoshinobu-eki. Remain calm and follow safety procedures! #StaySafe,27,40
Aftershocks shaking Yoshino. Remain vigilant! #disaster,20,27
Tremors felt in Yoshinagachō-yoshinaganaka. Emergency services on standby. #earthquake,16,42
Strong shaking reported in Yoshinaga. Ensure your family is safe and secure! #quakeAlert,27,36
Seismic disturbances noted in Yoshimo. Encourage families to create a disaster plan together! #disasterAlert,30,37
Tremors in Yoshimo. Prepare for potential disruptions in services! #quakeAlert,11,18
Earthquake detected near Yoshimiryūō-san. Stay close to loved ones and support each other! #earthquakeRescue,25,40
Reports of significant shaking in Yoshimi Machi. Help others if it’s safe to do so! #earthquake,34,47
Reports confirm tremors in Yoshimi. Stay indoors and avoid any distractions! #earthquake,27,34
Reports of significant shaking in Yoshimi. Look out for fallen debris! #earthquake,34,41
Tremors reported in Yoshimi-honmachi. Review your emergency contact list! #StaySafe,20,36
Shaking reported in Nakatsugawa. Remind everyone to stay calm and follow safety protocols! #disasterAlert,20,31
Aftershocks expected in Yo Shima. Have your evacuation plan ready to go! #earthquakeSafety,24,32
"Tremors felt in Yoshiki-gun. Everyone, stay cautious! #StayAlert",16,27
Strong shaking reported in Yoshikawa-mura. Stay indoors and remain calm! #quakeAlert,27,41
Shaking reported in Yoshikawa-machi. Stay cautious and monitor your surroundings! #disasterAlert,20,35
"Tremors felt in Yoshikawa. Everyone, please stay safe! #StayAlert",16,25
Tremors felt in Yoshikawa are causing some concern. Stay indoors until further notice! #quakeAlert,16,25
"Tremors felt across Yoshika-gawa. Everyone, please stay indoors and remain alert! #StayAlert",20,32
Aftershocks possible in Yoshii-machi. Ensure your family knows the safety exits! #disasterReady,24,36
Earthquake detected near Yoshii Gawa. Follow updates from local authorities! #earthquakeRescue,25,36
Tremors in Yoshii. Have your go-bag ready in case of evacuation! #quakeAlert,11,17
Strong shaking reported in Yoshii. Stay away from windows and glass doors! #quakeAlert,27,33
Shaking reported in Yoshiimachi-fukumasu. Stay indoors and avoid unnecessary travel! #disasterAlert,20,40
Significant shaking reported in Yoshihara. Make sure everyone is safe! #quakeAlert,32,41
Aftershocks in Yoshihama are causing concern. Stay updated through reliable sources! #disasterAlert,15,24
"Tremors felt in Mitsushimachō-yoshigaura. Stay safe, everyone! #StaySafe",16,40
"Tremors felt in Yoshigase. If you're driving, pull over and stay inside the vehicle! #disasterAlert",16,25
Reports of significant shaking in Yoshie. Look out for fallen debris! #earthquake,34,40
Reports of significant shaking in Yoshidachō-yoshida. Connect with your loved ones! #earthquake,34,52
"Earthquake just shook Yoshida-machi. Everyone, please be safe! #StayAlert",22,35
Earthquake detected near Yoshida-machi. Follow updates from local authorities! #earthquakeRescue,25,38
Shaking felt in Yoshida-kō. Stay prepared for aftershocks! #quakeAlert,16,26
Reports confirm shaking in Koya Gawa. Keep your emergency contacts updated! #quakeAlert,27,36
Tremors felt across Yoshida-dake. Everyone should be cautious! #earthquake,20,32
Tremors reported in Yoshida Chō. Secure heavy items and stay indoors! #quakeAlert,20,31
Reports confirm shaking in Yoshida-kasugachō. Make sure to stay informed through reliable sources! #quakeAlert,27,44
Tremors reported in Yoshida. Discuss safety procedures with your family! #StaySafe,20,27
Seismic events are affecting Yoshida. Prepare for potential disruptions! #disasterAlert,29,36
Tremors felt in Yoshida. Everyone should stay safe! #quakeAlert,16,23
"Residents of Yoshida, stay together and look out for each other! #StayAlert",13,20
Reports of tremors in Minechō-yoshida. Stay safe and prepared! #earthquake,22,37
Seismic activity reported in Yoshida. Prepare for potential evacuations! #disasterPreparedness,29,36
Ground shaking detected in Kamiyoshida. Communicate your whereabouts with loved ones! #disasterPreparedness,27,38
Tremors reported in Yoshida. Stay inside and avoid unnecessary movement! #StaySafe,20,27
Seismic disturbances noted in Yoshibu Yama. Stay aware and monitor for updates! #disasterAlert,30,42
Seismic disturbances noted in Yosegashita. Stay indoors and keep away from windows! #disasterAlert,30,41
Seismic disturbances noted in Yose. Stay tuned for safety announcements! #disasterAlert,30,34
Ground shaking detected in Yosami-mura. Keep emergency numbers handy! #disasterPreparedness,27,38
Shaking felt across Tango-hantō due to earthquake. Prayers for safety. #quakeAlert,20,31
Earthquake detected near Yosa-gun. Check on your neighbors! #earthquakeRescue,25,33
Reports of an earthquake near Yōryū San. Follow local safety protocols! #earthquakeRescue,30,39
Reports of significant shaking in Yorojima Suidō. Check in on your neighbors! #StaySafe,34,48
Reports of seismic activity in Yoro Jima. Stay calm and check on your loved ones! #StaySafe,31,40
Strong shaking reported in Yoronjima. Ensure your pets are safe and secure! #quakeAlert,27,36
Strong shaking reported in Yoron Chō. Ensure your family is safe and secure! #quakeAlert,27,36
Reports of an earthquake near Miimachi-yoromi. Stay updated with local news! #earthquakeRescue,30,45
Tremors felt in Yoroi Zaki. Stay informed about safety measures! #earthquakePreparedness,16,26
Tremors felt in Yoroi-zaki. Make sure to check on your emergency plans! #earthquake,16,26
Strong aftershocks reported in Yoroi-saki. Stay aware! #quakeAlert,31,41
Strong tremors reported in Yoroi Jima today. Be alert! #quakeAlert,27,37
Residents of Yoroi-gata urged to stay calm during the aftershocks. #StaySafe,13,23
Aftershocks may occur in Yōrō Chō. Stay tuned for updates from local authorities! #disasterReady,25,33
"Tremors felt in Yoro. If you're in a high-rise, move to a lower floor! #disasterAlert",16,20
Reports of shaking in Yorita-saki. Ensure your family knows the safety plan! #quakeAlert,22,33
"Residents of Yorishimachō, remain indoors until it's safe to go outside! #StayAlert",13,25
Ground shaking detected in Yori Jima. Check your home for potential hazards! #disasterPreparedness,27,36
Aftershocks may occur in Yoriki. Review your family’s emergency plan! #disasterReady,25,31
Seismic activity reported in Yorii Hama. Know your evacuation routes! #disasterPreparedness,29,39
Seismic disturbances have hit Yorii. Prepare for possible aftershocks! #earthquakeRescue,30,35
Seismic disturbances noted in Yorii. Stay aware of changing conditions in your area! #disasterAlert,30,35
Strong shaking reported in Yorifune Bana. Check in with family and friends to ensure their safety! #quakeAlert,27,40
Reports of significant shaking in Yoriaido. Check in with your loved ones! #earthquake,34,42
Earthquake detected near Yontomari Saki. Follow local authorities for safety updates! #earthquakeRescue,25,39
"Residents of Yontan-san, participate in local disaster drills to stay prepared! #StayAlert",13,23
Earthquake detected near Yonōzu-mura. Stay close to loved ones and support each other! #earthquakeRescue,25,36
"Residents of Yonōzu-urashiro Kō, remain indoors until it's safe to go outside! #StayAlert",13,31
Reports of significant shaking in Yonōzu. Check your emergency supplies! #earthquake,34,40
Significant shaking reported in Yonouzu-mura. Prepare for potential evacuations! #quakeAlert,32,44
Aftershocks may occur in Yonoki Bana. Have a flashlight ready in case of power outages! #disasterReady,25,36
Aftershocks shaking Yono. Please stay safe! #disaster,20,24
Aftershocks may occur in Yoneyama-seto. Familiarize yourself with safety procedures! #disasterReady,25,38
"Residents of Yoneyama-hana, ensure you have your emergency supplies ready. Stay alert! #StaySafe",13,26
"Residents of Yone Yama, stay indoors until you receive updates! #StayAlert",13,22
Tremors felt in Yone Zaki. Everyone stay vigilant! #earthquakeRescue,16,25
Earthquake activity detected in Yonekura. Stay indoors and avoid panic! #earthquake,32,40
Reports confirm shaking in Yonekura. Stay indoors and avoid panic! #quakeAlert,27,35
Aftershocks expected in Yoneda-chō. Check your first aid kit and supplies! #earthquakeSafety,24,34
Shaking reported in Yonamine. Please stay indoors! #quakeAlert,20,28
Tremors reported in Yonama Saki. Stay indoors and safe! #quakeAlert,20,31
Massive tremors felt in Yonama. Emergency services on high alert! #disasterAlert,24,30
Reports of significant shaking in Yonaguni Chō. Stay connected with your community! #earthquake,34,46
Significant shaking reported in Yonakuni. Be cautious and look out for others! #quakeAlert,32,40
Tremors reported in Yonaha-wan. Gather important documents in case of evacuation! #StaySafe,20,30
Tremors felt in Yonaha Dake. Stay prepared for aftershocks! #earthquake,16,27
"Residents of Yonaha, remain indoors until it's safe to go outside! #StayAlert",13,19
Reports of significant shaking in Yonaha. Check in on your neighbors! #StaySafe,34,40
Massive quake shakes Yonagusuku-son. Stay alert! #disasterAlert,21,35
"Residents of Yonashiro, remember to stay indoors during tremors! #StaySafe",13,22
Shaking felt across Yonagusuku. Ensure your emergency plans are in place! #quakeAlert,20,30
Tremors felt in Yonagushiku. Make sure to have a safety plan in place! #earthquakePreparedness,16,27
Aftershocks may occur in Yonaguni-jima. Ensure you have a battery-operated radio! #disasterReady,25,38
Tremors felt across Yonago Shi. Please stay indoors! #earthquake,20,30
Tremors felt in Yonago. Avoid using elevators during an earthquake! #disasterAlert,16,22
Tremors felt in Yonabaru Wan. Discuss safety protocols with your family today! #earthquakeAwareness,16,28
Residents of Yonabaru-kō shaken by aftershocks again. Stay cautious! #earthquake,13,24
Ground shaking detected in Yonabaru Chō. Ensure your emergency contacts are updated! #disasterPreparedness,27,39
Earthquake detected near Yonabaru. Follow the guidance of local authorities! #earthquakeRescue,25,33
Shaking felt in Yomura-gawa. Keep your phones charged and stay updated! #disasterAlert,16,27
Shaking reported in Kochidomari Hana. Remind everyone to stay calm and follow safety protocols! #disasterAlert,20,36
Significant shaking reported in Yomohara Yama. Stay updated through social media alerts! #quakeAlert,32,45
